GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.impl,DefaultCryptoResourceManager,5,33,3,3,2,13,4,4,1,4
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.util,DockerSecrets,19,26,3,3,6,9,4,2,1,2
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.util,JpaDaoFactory,26,11,2,0,5,4,2,2,1,2
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.util,JpaDao,41,39,2,0,9,14,6,7,5,7
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.util,PersistenceManager,3,76,4,8,0,18,4,7,0,5
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new Handler() {...},5,6,0,0,2,1,1,1,1,1
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new Handler() {...},5,6,0,0,2,1,1,1,1,1
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new InfluxConfig() {...},59,0,6,0,17,0,7,0,4,0
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new Handler() {...},5,6,0,0,2,1,1,1,1,1
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new Handler() {...},5,6,0,0,2,1,1,1,1,1
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new Handler() {...},0,11,0,0,0,3,0,2,0,2
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new Handler() {...},0,11,0,0,0,3,0,2,0,2
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App.new Handler() {...},0,11,0,0,0,3,0,2,0,2
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,RequestReplyEntity,0,3,0,0,0,1,0,1,0,1
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,App,23,259,0,0,7,58,2,9,2,9
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,AccessManager,0,76,4,12,0,22,4,7,0,3
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,Handlers,9,1989,7,47,1,251,7,30,0,10
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,AdminHandlers,249,113,3,1,17,17,3,3,1,3
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver,Roles,0,24,0,0,0,3,0,1,0,1
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.dao,Rfc3161timestampDao,39,57,0,0,13,17,2,4,2,4
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.dao,DaoFactory,0,28,0,2,0,7,0,3,0,2
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.domain,TotalNumber,9,0,0,0,4,0,2,0,2,0
rfc3161timestampingserver,de.elbosso.tools.rfc3161timestampingserver.domain,Rfc3161timestamp,0,45,0,0,0,19,0,13,0,13
